Time,PPG
0.02,-0.118595428
0.03,-0.175081694
0.05,-0.170552361
0.06,-0.191686692
0.08,-0.182573891
0.09,-0.183446791
0.11,-0.123378146
0.13,-0.048907042
0.14,-0.003008141
0.16,0.076456325
0.17,0.133291556
0.19,0.163681976
0.20,0.180467355
0.22,0.185893401
0.23,0.180079404
0.25,0.162489137
0.27,0.160253419
0.28,0.145023923
0.30,0.129210622
0.31,0.123490101
0.33,0.127799147
0.34,0.095631888
0.36,0.078410947
0.38,0.068163339
0.39,0.05452324
0.41,0.049233107
0.42,0.041178093
0.44,0.03273095
0.45,0.02727044
0.47,0.012349289
0.48,0.002934068
0.50,-0.017677619
0.52,-0.023674437
0.53,-0.038405628
0.55,-0.06001102
0.56,-0.073362869
0.58,-0.086621396
0.59,-0.098814583
0.61,-0.113209563
0.63,-0.12804763
0.64,-0.142045652
0.66,-0.155147769
0.67,-0.161662414
0.69,-0.172356593
0.70,-0.179228527
0.72,-0.180405994
0.73,-0.181115014
0.75,-0.190078295
0.77,-0.190638688
0.78,-0.201414332
0.80,-0.213299038
0.81,-0.203788933
0.83,-0.179169408
0.84,-0.118929669
0.86,-0.04047345
0.88,0.0501527
0.89,0.128335747
0.91,0.164238445
0.92,0.209106537
0.94,0.219397094
0.95,0.215861683
0.97,0.210517763
0.98,0.193025618
1.00,0.17422603
1.02,0.167916643
1.03,0.147382813
1.05,0.130539971
1.06,0.104822507
1.08,0.090530607
1.09,0.061349748
1.11,0.045327812
1.13,0.031830943
1.14,0.01924458
1.16,0.018632157
1.17,0.01358404
1.19,0.012115869
1.20,0.001225054
1.22,-0.009070924
1.23,-0.011150821
1.25,-0.034417494
1.27,-0.037929612
1.28,-0.050553246
1.30,-0.071974089
1.31,-0.086171416
1.33,-0.094649432
1.34,-0.105375315
1.36,-0.1251274
1.38,-0.12906085
1.39,-0.141142545
1.41,-0.147886237
1.42,-0.144890239
1.44,-0.152142865
1.45,-0.156816147
1.47,-0.162016103
1.48,-0.168471589
1.50,-0.182510446
1.52,-0.192030039
1.53,-0.199450527
1.55,-0.211002126
1.56,-0.170845398
1.58,-0.135456664
1.59,-0.10600657
1.61,-0.069068645
1.63,0.100077986
1.64,0.201141054
1.66,0.224940955
1.67,0.264110852
1.69,0.272951771
1.70,0.270508821
1.72,0.251872853
1.73,0.237414934
1.75,0.218244958
1.77,0.210968014
1.78,0.194226879
1.80,0.162617807
1.81,0.12955917
1.83,0.108695508
1.84,0.088933025
1.86,0.069943992
1.88,0.056433881
1.89,0.043770133
1.91,0.042818084
1.92,0.044508356
1.94,0.044444951
1.95,0.040426317
1.97,0.031325221
1.98,0.017201232
2.00,-0.00562636
2.02,-0.02886695
2.03,-0.034264479
2.05,-0.065468221
2.06,-0.085960343
2.08,-0.100977423
2.09,-0.12419181
2.11,-0.140756516
2.13,-0.155839187
2.14,-0.166760068
2.16,-0.16922899
2.17,-0.171094967
2.19,-0.173487811
2.20,-0.175768755
2.22,-0.176598236
2.23,-0.174093234
2.25,-0.178907732
2.27,-0.189685675
2.28,-0.195491964
2.30,-0.202445505
2.31,-0.197958849
2.33,-0.165970537
2.34,-0.098435092
2.36,-0.020392128
2.38,0.086338548
2.39,0.152957249
2.41,0.205183366
2.42,0.247541773
2.44,0.273981095
2.45,0.270608767
2.47,0.261789398
2.48,0.24070217
2.50,0.219733907
2.52,0.210207821
2.53,0.201398951
2.55,0.187313032
2.56,0.155734812
2.58,0.145179105
2.59,0.112213461
2.61,0.10079025
2.63,0.075262969
2.64,0.06649593
2.66,0.043998943
2.67,0.026767796
2.69,0.017155168
2.70,0.008285564
2.72,-0.002916631
2.73,-0.012944014
2.75,-0.020050488
2.77,-0.03953662
2.78,-0.052386696
2.80,-0.071693973
2.81,-0.081441259
2.83,-0.097839381
2.84,-0.109767505
2.86,-0.125729463
2.88,-0.131105222
2.89,-0.142163789
2.91,-0.168580418
2.92,-0.175305341
2.94,-0.188195749
2.95,-0.20040059
2.97,-0.204153433
2.98,-0.208806479
3.00,-0.213001666
3.02,-0.216194257
3.03,-0.221315136
3.05,-0.231918033
3.06,-0.236844572
3.08,-0.234645669
3.09,-0.215099954
3.11,-0.15520984
3.13,-0.100065686
3.14,0.037563776
3.16,0.095543525
3.17,0.173129299
3.19,0.238055671
3.20,0.250117447
3.22,0.263180203
3.23,0.250292549
3.25,0.233592533
3.27,0.219856499
3.28,0.218183209
3.30,0.212873349
3.31,0.212448959
3.33,0.205145246
3.34,0.171514164
3.36,0.128226581
3.38,0.112897425
3.39,0.097058409
3.41,0.087115638
3.42,0.077733033
3.44,0.062406257
3.45,0.053475226
3.47,0.043705944
3.48,0.032401869
3.50,0.004908261
3.52,-0.005473306
3.53,-0.014776762
3.55,-0.049536296
3.56,-0.068335597
3.58,-0.078613506
3.59,-0.090665391
3.61,-0.103828331
3.63,-0.114127095
3.64,-0.12496887
3.66,-0.133356115
3.67,-0.133991164
3.69,-0.142545824
3.70,-0.152612524
3.72,-0.162307232
3.73,-0.169110662
3.75,-0.182260051
3.77,-0.191531667
3.78,-0.19948357
3.80,-0.212688125
3.81,-0.22626407
3.83,-0.235795665
3.84,-0.243335129
3.86,-0.242644697
3.88,-0.222417821
3.89,-0.139825937
3.91,-0.071222907
3.92,0.051932371
3.94,0.12042001
3.95,0.190739824
3.97,0.250497512
3.98,0.268035132
4.00,0.272593139
4.02,0.269424664
4.03,0.270288358
4.05,0.25526508
4.06,0.239007593
4.08,0.238636725
4.09,0.220467287
4.11,0.20310841
4.13,0.193489163
4.14,0.169921388
4.16,0.162764503
4.17,0.137228283
4.19,0.10316825
4.20,0.085928697
4.22,0.086187311
4.23,0.082916158
4.25,0.076672649
4.27,0.058530072
4.28,0.057683385
4.30,0.044787771
4.31,0.017301587
4.33,0.004515588
4.34,-0.017262042
4.36,-0.04855188
4.38,-0.067614007
4.39,-0.081573087
4.41,-0.105265866
4.42,-0.114297037
4.44,-0.126291348
4.45,-0.13489587
4.47,-0.140271807
4.48,-0.142448718
4.50,-0.143606672
4.52,-0.142805414
4.53,-0.142155316
4.55,-0.144073704
4.56,-0.154786376
4.58,-0.171657565
4.59,-0.190802266
4.61,-0.20734999
4.63,-0.219185549
4.64,-0.219341715
4.66,-0.209424508
4.67,-0.134361009
4.69,-0.028237512
4.70,0.038659663
4.72,0.118766659
4.73,0.164326921
4.75,0.208731468
4.77,0.230896529
4.78,0.237063318
4.80,0.242238164
4.81,0.238945624
4.83,0.214095267
4.84,0.199453959
4.86,0.192955619
4.88,0.175468089
4.89,0.157459246
4.91,0.137864893
4.92,0.105838378
4.94,0.074347857
4.95,0.054089438
4.97,0.036162469
4.98,0.021211236
5.00,0.015729067
5.02,0.00790653
5.03,0.005057804
5.05,0.005527109
5.06,-0.006695511
5.08,-0.007692754
5.09,-0.013506868
5.11,-0.034492229
5.13,-0.049536941
5.14,-0.065239392
5.16,-0.085642952
5.17,-0.104205049
5.19,-0.124479789
5.20,-0.14051706
5.22,-0.158082667
5.23,-0.165727491
5.25,-0.177213598
5.27,-0.181034117
5.28,-0.182094302
5.30,-0.184797242
5.31,-0.184191205
5.33,-0.184313783
5.34,-0.182190495
5.36,-0.181856742
5.38,-0.180969922
5.39,-0.18809152
5.41,-0.195695128
5.42,-0.206960862
5.44,-0.203420542
5.45,-0.216314548
5.47,-0.173827397
5.48,-0.110144932
5.50,-0.040106895
5.52,0.00686108
5.53,0.047346546
5.55,0.119683605
5.56,0.13344738
5.58,0.149337068
5.59,0.147758841
5.61,0.13796801
5.63,0.12890183
5.64,0.115775825
5.66,0.105333046
5.67,0.085848368
5.69,0.06910239
5.70,0.052685706
5.72,0.025176133
5.73,0.01422131
5.75,-0.00475771
5.77,-0.008890876
5.78,-0.009659151
5.80,-0.016086865
5.81,-0.0236299
5.83,-0.02366548
5.84,-0.026730168
5.86,-0.029939214
5.88,-0.038544248
5.89,-0.050758653
5.91,-0.055767612
5.92,-0.06504786
5.94,-0.07888036
5.95,-0.08782876
5.97,-0.10232586
5.98,-0.121523436
6.00,-0.140969411
6.02,-0.147197639
6.03,-0.16030542
6.05,-0.173103398
6.06,-0.177561242
6.08,-0.179654523
6.09,-0.18269571
6.11,-0.187979555
6.13,-0.188402864
6.14,-0.192277667
6.16,-0.192975217
6.17,-0.188015321
6.19,-0.19081103
6.20,-0.195477716
6.22,-0.198371543
6.23,-0.186284348
6.25,-0.153959164
6.27,-0.095041802
6.28,-0.015726735
6.30,0.069041177
6.31,0.127236972
6.33,0.171556717
6.34,0.188387274
6.36,0.198451603
6.38,0.192277571
6.39,0.187935501
6.41,0.180216402
6.42,0.182799968
6.44,0.185875558
6.45,0.180277942
6.47,0.169942783
6.48,0.165157859
6.50,0.136661455
6.52,0.11068039
6.53,0.100447221
6.55,0.074959283
6.56,0.047300004
6.58,0.045122724
6.59,0.033698762
6.61,0.03098893
6.63,0.029364762
6.64,0.018526699
6.66,0.007806088
6.67,0.002885353
6.69,-0.003424232
6.70,-0.009191983
6.72,-0.01432714
6.73,-0.016279154
6.75,-0.032461922
6.77,-0.043378127
6.78,-0.058010594
6.80,-0.076898762
6.81,-0.095820914
6.83,-0.102063879
6.84,-0.118852009
6.86,-0.126813007
6.88,-0.12696571
6.89,-0.13869825
6.91,-0.13935391
6.92,-0.139115056
6.94,-0.146508384
6.95,-0.148115864
6.97,-0.151289157
6.98,-0.156192672
7.00,-0.157303261
7.02,-0.158880859
7.03,-0.157283609
7.05,-0.154188707
7.06,-0.103679563
7.08,-0.046676259
7.09,0.020756862
7.11,0.095500135
7.13,0.146017163
7.14,0.175902821
7.16,0.189994076
7.17,0.198094738
7.19,0.202379614
7.20,0.187418509
7.22,0.187318293
7.23,0.183771591
